year,geo,dguid,geo_level,is_national,gender,age,population
2025,British Columbia,2021A000259,province,False,Total - gender,16_plus,4895067
2025,British Columbia,2021A000259,province,False,Women+,16_plus,2486112
2025,Canada,2021A000011124,national,True,Men+,16_plus,17364609
2025,Canada,2021A000011124,national,True,Total - gender,16_plus,34934133
2025,Canada,2021A000011124,national,True,Women+,16_plus,17569524
2025,Manitoba,2021A000246,province,False,Men+,16_plus,615927
2025,Manitoba,2021A000246,province,False,Total - gender,16_plus,1224629
2025,Manitoba,2021A000246,province,False,Women+,16_plus,608702
2025,New Brunswick,2021A000213,province,False,Men+,16_plus,363637
2025,New Brunswick,2021A000213,province,False,Total - gender,16_plus,738266
2025,New Brunswick,2021A000213,province,False,Women+,16_plus,374629
2025,Newfoundland and Labrador,2021A000210,province,False,Men+,16_plus,234007
2025,Newfoundland and Labrador,2021A000210,province,False,Total - gender,16_plus,476460
2025,Newfoundland and Labrador,2021A000210,province,False,Women+,16_plus,242453
2025,Northwest Territories,2021A000261,province,False,Men+,16_plus,19156
2025,Northwest Territories,2021A000261,province,False,Total - gender,16_plus,37085
2025,Northwest Territories,2021A000261,province,False,Women+,16_plus,17929
2025,Nova Scotia,2021A000212,province,False,Men+,16_plus,460211
2025,Nova Scotia,2021A000212,province,False,Total - gender,16_plus,936022
2025,Nova Scotia,2021A000212,province,False,Women+,16_plus,475811
2025,Nunavut,2021A000262,province,False,Men+,16_plus,14466
2025,Nunavut,2021A000262,province,False,Total - gender,16_plus,28401
2025,Nunavut,2021A000262,province,False,Women+,16_plus,13935
2025,Ontario,2021A000235,province,False,Men+,16_plus,6794991
2025,Ontario,2021A000235,province,False,Total - gender,16_plus,13714407
2025,Ontario,2021A000235,province,False,Women+,16_plus,6919416
2025,Prince Edward Island,2021A000211,province,False,Men+,16_plus,75624
2025,Prince Edward Island,2021A000211,province,False,Total - gender,16_plus,155345
2025,Prince Edward Island,2021A000211,province,False,Women+,16_plus,79721
2025,Quebec,2021A000224,province,False,Men+,16_plus,3796507
2025,Quebec,2021A000224,province,False,Total - gender,16_plus,7581800
2025,Quebec,2021A000224,province,False,Women+,16_plus,3785293
2025,Saskatchewan,2021A000247,province,False,Men+,16_plus,510941
2025,Saskatchewan,2021A000247,province,False,Total - gender,16_plus,1016600
2025,Saskatchewan,2021A000247,province,False,Women+,16_plus,505659
2025,Yukon,2021A000260,province,False,Men+,16_plus,20255
2025,Yukon,2021A000260,province,False,Total - gender,16_plus,40404
2025,Yukon,2021A000260,province,False,Women+,16_plus,20149
