"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025","Prince Edward Island","2021A000211","Total - gender","16 to 64 years","Persons","249","units","0","v467604","3.1.97","117240","","","","0"
"2017","Prince Edward Island","2021A000211","Total - gender","65 years and older","Persons","249","units","0","v467316","3.1.104","28797","","","","0"
"2018","Prince Edward Island","2021A000211","Total - gender","65 years and older","Persons","249","units","0","v467316","3.1.104","29744","","","","0"
"2019","Prince Edward Island","2021A000211","Total - gender","65 years and older","Persons","249","units","0","v467316","3.1.104","30875","","","","0"
"2020","Prince Edward Island","2021A000211","Total - gender","65 years and older","Persons","249","units","0","v467316","3.1.104","31993","","","","0"
"2021","Prince Edward Island","2021A000211","Total - gender","65 years and older","Persons","249","units","0","v467316","3.1.104","33293","","","","0"
"2022","Prince Edward Island","2021A000211","Total - gender","65 years and older","Persons","249","units","0","v467316","3.1.104","34523","","","","0"
"2023","Prince Edward Island","2021A000211","Total - gender","65 years and older","Persons","249","units","0","v467316","3.1.104","35729","","","","0"
"2024","Prince Edward Island","2021A000211","Total - gender","65 years and older","Persons","249","units","0","v467316","3.1.104","36849","","","","0"
"2025","Prince Edward Island","2021A000211","Total - gender","65 years and older","Persons","249","units","0","v467316","3.1.104","38105","","","","0"
"2017","Prince Edward Island","2021A000211","Men+","All ages","Persons","249","units","0","v467299","3.2.1","73005","","","","0"
"2018","Prince Edward Island","2021A000211","Men+","All ages","Persons","249","units","0","v467299","3.2.1","74289","","","","0"
"2019","Prince Edward Island","2021A000211","Men+","All ages","Persons","249","units","0","v467299","3.2.1","76021","","","","0"
"2020","Prince Edward Island","2021A000211","Men+","All ages","Persons","249","units","0","v467299","3.2.1","77612","","","","0"
"2021","Prince Edward Island","2021A000211","Men+","All ages","Persons","249","units","0","v467299","3.2.1","79055","","","","0"
"2022","Prince Edward Island","2021A000211","Men+","All ages","Persons","249","units","0","v467299","3.2.1","81612","","","","0"
"2023","Prince Edward Island","2021A000211","Men+","All ages","Persons","249","units","0","v467299","3.2.1","84995","","","","0"
"2024","Prince Edward Island","2021A000211","Men+","All ages","Persons","249","units","0","v467299","3.2.1","88082","","","","0"
